1K0E_slice, -1.0, -2.95, 0.0, -1.0, 2.949994, 0.0
H00E_slice, -3.15, 0.0, 0.0, 3.149994, 0.0, 0.0
h0.0K0E_slice, 0.0, -3.15, 0.0, 0.0, 3.149994, 0.0
h0.25K0E_slice, -0.25, -3.15, 0.0, -0.25, 3.149994, 0.0
h0.5K0E_slice, -0.5, -3.15, 0.0, -0.5, 3.149994, 0.0
h0.75K0E_slice, -0.75, -3.15, 0.0, -0.75, 3.149994, 0.0
H10E_slice, -3.15, 1.0, 0.0, 3.149994, 1.0, 0.0
h1.0K0E_slice, -1.0, -3.15, 0.0, -1.0, 3.149994, 0.0
h1.25K0E_slice, -1.25, -3.15, 0.0, -1.25, 3.149994, 0.0
h1.5K0E_slice, -1.5, -3.15, 0.0, -1.5, 3.149994, 0.0
h1.75K0E_slice, -1.75, -3.15, 0.0, -1.75, 3.149994, 0.0
H20E_slice, -3.15, 2.0, 0.0, 3.149994, 2.0, 0.0
h2.0K0E_slice, -2.0, -3.15, 0.0, -2.0, 3.149994, 0.0
Hm1Hp10E_slice, -1.975, 0.025000000000000022, 0.0, -0.024999499999999952, 1.9750005000000002, 0.0
H10EE_slice, -1.5875, 1.0, 0.0, -0.01250154, 1.0, 0.0
